backend,collection_episodes,collection_success_rate,collection_transitions,contextual_hypothesis,episodes,evaluation_game,evaluation_mean_reward,evaluation_mean_steps,evaluation_reward_spread,evaluation_success_rate,experiment,hypothesis_rules,hypothesis_size_chars,induction_seconds,planner_hypothesis,planner_plan_steps,protocol_note,runtime_seconds,seed,steps_per_episode,training_game
popper,10,1.0,790,"transition(A,B):- state_before(A,B),step_up(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_down(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_right(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_left(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_left(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_down(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_right(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_up(A,B,C),open(A,B).",100,experiment3_after,-10.0,21,0.0,1,transfer,8,509,4.152175742958207,"state_at(B,T+1):-time(T),adjacent(up,C,B),state_at(B,T),action(up,T),wall(C).
state_at(B,T+1):-time(T),adjacent(down,C,B),state_at(B,T),action(down,T),wall(C).
state_at(B,T+1):-time(T),adjacent(right,B,C),state_at(C,T),action(right,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(left,B,C),state_at(C,T),action(left,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(left,C,B),state_at(B,T),action(left,T),wall(C).
state_at(B,T+1):-time(T),adjacent(down,B,C),state_at(C,T),action(down,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(right,C,B),state_at(B,T),action(right,T),wall(C).
state_at(B,T+1):-time(T),adjacent(up,B,C),state_at(C,T),action(up,T),not wall(B).
",21,"Popper induction is one-shot after bounded online collection; this is a bounded comparison harness, not a claim of exact ILASP call-for-call equivalence.",31.276373452041298,0,250,aaa_small
popper,10,0.9,1188,"transition(A,B):- state_before(A,C),step_up(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_up(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_right(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_down(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_down(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_right(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_left(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_left(A,C,B),wall(A,C).",100,experiment3_after,-10.0,21,0.0,1,transfer,8,509,5.8505648549762554,"state_at(B,T+1):-time(T),adjacent(up,B,C),state_at(C,T),action(up,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(up,C,B),state_at(B,T),action(up,T),wall(C).
state_at(B,T+1):-time(T),adjacent(right,C,B),state_at(B,T),action(right,T),wall(C).
state_at(B,T+1):-time(T),adjacent(down,B,C),state_at(C,T),action(down,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(down,C,B),state_at(B,T),action(down,T),wall(C).
state_at(B,T+1):-time(T),adjacent(right,B,C),state_at(C,T),action(right,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(left,B,C),state_at(C,T),action(left,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(left,C,B),state_at(B,T),action(left,T),wall(C).
",21,"Popper induction is one-shot after bounded online collection; this is a bounded comparison harness, not a claim of exact ILASP call-for-call equivalence.",32.200917222944554,1,250,aaa_small
popper,10,1.0,1206,"transition(A,B):- state_before(A,B),step_right(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_left(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_left(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_right(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_up(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_up(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_down(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_down(A,B,C),open(A,B).",100,experiment3_after,-10.0,21,0.0,1,transfer,8,509,2.411495588021353,"state_at(B,T+1):-time(T),adjacent(right,C,B),state_at(B,T),action(right,T),wall(C).
state_at(B,T+1):-time(T),adjacent(left,C,B),state_at(B,T),action(left,T),wall(C).
state_at(B,T+1):-time(T),adjacent(left,B,C),state_at(C,T),action(left,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(right,B,C),state_at(C,T),action(right,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(up,C,B),state_at(B,T),action(up,T),wall(C).
state_at(B,T+1):-time(T),adjacent(up,B,C),state_at(C,T),action(up,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(down,C,B),state_at(B,T),action(down,T),wall(C).
state_at(B,T+1):-time(T),adjacent(down,B,C),state_at(C,T),action(down,T),not wall(B).
",21,"Popper induction is one-shot after bounded online collection; this is a bounded comparison harness, not a claim of exact ILASP call-for-call equivalence.",27.437036638031714,2,250,aaa_small
popper,10,0.9,1035,"transition(A,B):- state_before(A,B),step_up(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_left(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_down(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_right(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_left(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_right(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_up(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_down(A,B,C),open(A,B).",100,experiment3_after,-10.0,21,0.0,1,transfer,8,509,2.048718073987402,"state_at(B,T+1):-time(T),adjacent(up,C,B),state_at(B,T),action(up,T),wall(C).
state_at(B,T+1):-time(T),adjacent(left,C,B),state_at(B,T),action(left,T),wall(C).
state_at(B,T+1):-time(T),adjacent(down,C,B),state_at(B,T),action(down,T),wall(C).
state_at(B,T+1):-time(T),adjacent(right,C,B),state_at(B,T),action(right,T),wall(C).
state_at(B,T+1):-time(T),adjacent(left,B,C),state_at(C,T),action(left,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(right,B,C),state_at(C,T),action(right,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(up,B,C),state_at(C,T),action(up,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(down,B,C),state_at(C,T),action(down,T),not wall(B).
",21,"Popper induction is one-shot after bounded online collection; this is a bounded comparison harness, not a claim of exact ILASP call-for-call equivalence.",32.219451808021404,3,250,aaa_small
popper,10,0.6,1724,"transition(A,B):- state_before(A,B),step_left(A,C,B),wall(A,C).
transition(A,B):- state_before(A,B),step_down(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_left(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_up(A,C,B),wall(A,C).
transition(A,B):- state_before(A,C),step_up(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_right(A,B,C),open(A,B).
transition(A,B):- state_before(A,C),step_down(A,B,C),open(A,B).
transition(A,B):- state_before(A,B),step_right(A,C,B),wall(A,C).",100,experiment3_after,-10.0,21,0.0,1,transfer,8,509,5.2808993240469135,"state_at(B,T+1):-time(T),adjacent(left,C,B),state_at(B,T),action(left,T),wall(C).
state_at(B,T+1):-time(T),adjacent(down,C,B),state_at(B,T),action(down,T),wall(C).
state_at(B,T+1):-time(T),adjacent(left,B,C),state_at(C,T),action(left,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(up,C,B),state_at(B,T),action(up,T),wall(C).
state_at(B,T+1):-time(T),adjacent(up,B,C),state_at(C,T),action(up,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(right,B,C),state_at(C,T),action(right,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(down,B,C),state_at(C,T),action(down,T),not wall(B).
state_at(B,T+1):-time(T),adjacent(right,C,B),state_at(B,T),action(right,T),wall(C).
",21,"Popper induction is one-shot after bounded online collection; this is a bounded comparison harness, not a claim of exact ILASP call-for-call equivalence.",33.983606011024676,4,250,aaa_small
